,adobe-source-han-sans-jp-fonts
,alacritty
,arandr
,arc-icon-theme
,bash-completion
,bat
,bc
,blueman
,bluez
,bluez-utils
,bmon
,dark-reader
,dosfstools
,dunst
,emacs
,exa
,exfat-utils
,fd
,ffmpeg
,ffmpegthumbnailer
,fzf
,galculator
,gimp
,gparted
,gtk4
,highlight
,htop
,hunspell
,hunspell-en_us
,inetutils
,kdenlive
,kvantum
,libnotify
,lshw
,lxappearance
,lxsession-gtk3
,lynx
,man-db
,man-pages
,mediainfo
,moreutils
,mpc
,mpd
,mpv
,ncmpcpp
,neovim
,net-tools
,network-manager-applet
,networkmanager-openvpn
,newsboat
,noto-fonts
,noto-fonts-emoji
,ntfs-3g
,numlockx
,obs-studio
,openbsd-netcat
,os-prober
,pacman-contrib
,pamixer
,pavucontrol
,pulsemixer
,qt5ct
,reflector
,ripgrep
,scrot
,shellcheck
,sxiv
,telegram-desktop
,tff-jetbrains-mono
,thunar
,thunar-volman
,traceroute
,ttf-dejavu
,ttf-ubuntu-font-family
,tumbler
,ueberzug
,unclutter
,unzip
,vidir
,virtualbox
,virtualbox-host-dkms
,volumeicon
,wget
,whois
,wimlib
,xclip
,xcolor
,xcompmgr
,xf86-input-synaptics
,xf86-video-intel
,xf86-video-nouveau
,xorg-server
,xorg-xbacklight
,xorg-xev
,xorg-xinit
,xorg-xprop
,xterm
,xwallpaper
,yt-dlp
,zathura
,zathura-pdf-mupdf
,zsh-autosuggestions
,zsh-completions
A,7-zip
A,brave-bin
A,c-lolcat
A,dashbinsh
A,dracula-gtk-theme-git
A,lf-git
A,ly-git
A,ms-sys-devel
A,nerd-fonts-mononoki
A,pfetch-git
A,ttf-mononoki-git
A,unrar-free
A,vazirmatn-fonts
A,zsh-fast-syntax-highlighting-git
G,https://github.com/mamizaxyz/dmenu.git
G,https://github.com/mamizaxyz/dwm.git
G,https://github.com/mamizaxyz/dwmblocks.git
G,https://github.com/mamizaxyz/xmenu.git
